PLC number;1;;;;;;;;;;;;;
Modbus Adr;1;;;;;;;;;;;;;
DB Block;10;;;;;;;;;;;;;
Offset DB Channel;1024;;;;;;;;;;;;;
Address;Name;Channel type;No of bits;Type;Initial value;Value;Comment;Channel name;Channel reference;;;Channel type: ;DI;digital input
0.0;;;;STRUCT;;;;;;;;;DO;digital output
+0.0;StatusIN_1;DI;1;BOOL;FALSE;;;S0 PL1 DI1;S0PL1DI1;;;;NI;integer number input X bits
+0.1;StatusIN_2;DI;1;BOOL;FALSE;;;S0 PL1 DI2;S0PL1DI2;;;;NO;integer number output X bits
+0.2;StatusIN_3;DI;1;BOOL;FALSE;;;;;;;;FI;float number input IEE Siemens standards
+0.3;StatusIN_4;DI;1;BOOL;FALSE;;;;;;;;FO ;float number output 
+0.4;StatusIN_5;DI;1;BOOL;FALSE;;;;;;;;CI;char ASCII input Y char
+0.5;StatusIN_6;DI;1;BOOL;FALSE;;;;;;;;CO ;char ASCII output Y char
+0.6;StatusIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+0.7;StatusIN_8;DI;1;BOOL;FALSE;;;;;;;Reference xls file: ;https://kobersrl.sharepoint.com/:x:/r/sites/PROIECTARE/Shared%20Documents/MPG%20-%20MASINA%20PREPARAT%20IN%20GALETI/Proiect%20MPG/Tablou%20Electric/Doc/ALOCARE%20TABLOU%20MPG%2030.09.2022%20.xlsx?d=w509b135a77004416b3c3679c41e39c3b&csf=1&web=1&e=hg1BkV;
+1.0;StatusIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+1.1;StatusIN_10;DI;1;BOOL;FALSE;;;;;;;OBS:;Se completeaza toate acele campuri care sunt active in DB in cadrul canalului din PLC;
+1.2;StatusIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+1.3;StatusIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+1.4;StatusIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+1.5;StatusIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+1.6;StatusIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+1.7;StatusIN_16;DI;1;BOOL;FALSE;;;;;;;;;
+2.0;VerifAmbalajIN_1;DI;1;BOOL;FALSE;;;;;;;;;
+2.1;VerifAmbalajIN_2;DI;1;BOOL;FALSE;;;;;;;;;
+2.2;VerifAmbalajIN_3;DI;1;BOOL;FALSE;;;;;;;;;
+2.3;VerifAmbalajIN_4;DI;1;BOOL;FALSE;;;;;;;;;
+2.4;VerifAmbalajIN_5;DI;1;BOOL;FALSE;;;;;;;;;
+2.5;VerifAmbalajIN_6;DI;1;BOOL;FALSE;;;;;;;;;
+2.6;VerifAmbalajIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+2.7;VerifAmbalajIN_8;DI;1;BOOL;FALSE;;;;;;;;;
+3.0;VerifAmbalajIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+3.1;VerifAmbalajIN_10;DI;1;BOOL;FALSE;;;;;;;;;
+3.2;VerifAmbalajIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+3.3;VerifAmbalajIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+3.4;VerifAmbalajIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+3.5;VerifAmbalajIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+3.6;VerifAmbalajIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+3.7;VerifAmbalajIN_16;DI;1;BOOL;FALSE;;;;;;;;;
